"Jonathan Byrd",0.570,15.959,28
"Aaron Baddeley",0.507,24.353,48
"Brendon Todd",0.483,32.387,67
"Byeong Hun An",0.470,36.217,77
"Matt Kuchar",0.465,27.928,60
"Scottie Scheffler",0.439,27.231,62
"Hideki Matsuyama",0.412,24.309,59
"Tommy Fleetwood",0.406,20.314,50
"Stephan Jaeger",0.392,32.905,84
"Rory McIlroy",0.373,17.170,46
"Justin Thomas",0.366,20.865,57
"Alex Noren",0.358,18.605,52
"Ben Griffin",0.348,24.699,71
"Chris Kirk",0.340,21.438,63
"Justin Rose",0.333,15.334,46
"Matt Wallace",0.331,18.209,55
"Austin Cook",0.326,13.385,41
"Jason Day",0.314,16.331,52
"Robby Shelton",0.297,20.770,70
"Mackenzie Hughes",0.296,15.410,52
"Harris English",0.295,19.760,67
"Peter Malnati",0.294,17.962,61
"Beau Hossler",0.287,18.937,66
"Rickie Fowler",0.278,19.160,69
"Matthias Schwab",0.276,17.679,64
"Eric Cole",0.251,19.554,78
"Min Woo Lee",0.248,8.425,34
"Harry Hall",0.241,14.444,60
"Max Homa",0.239,14.604,61
"Patrick Rodgers",0.236,16.277,69
"Sungjae Im",0.233,15.597,67
"Brian Stuard",0.233,9.072,39
"Aaron Wise",0.227,8.386,37
"Zac Blair",0.224,10.316,46
"Andrew Novak",0.222,11.752,53
"Tony Finau",0.219,12.496,57
"Russell Henley",0.219,11.837,54
"K.H. Lee",0.219,14.231,65
"Taylor Montgomery",0.216,15.120,70
"S.H. Kim",0.215,17.883,83
"Matt Fitzpatrick",0.213,10.871,51
"Tano Goya",0.212,10.592,50
"Wyndham Clark",0.208,15.393,74
"William McGirt",0.204,5.313,26
"Luke Donald",0.201,7.436,37
"Adam Scott",0.192,9.224,48
"Jordan Spieth",0.189,9.475,50
"Nick Taylor",0.186,10.974,59
"Mark Hubbard",0.179,12.514,70
"Seamus Power",0.175,9.980,57
"Aaron Rai",0.173,12.630,73
"Joseph Bramlett",0.170,11.587,68
"J.J. Spaun",0.168,10.054,60
"Kevin Streelman",0.159,11.155,70
"Sahith Theegala",0.156,11.240,72
"Adam Long",0.154,10.606,69
"Maverick McNealy",0.154,7.093,46
"Christiaan Bezuidenhout",0.151,9.675,64
"Jon Rahm",0.143,6.867,48
"Tyrrell Hatton",0.140,7.562,54
"Dylan Wu",0.137,8.471,62
"Thomas Detry",0.134,7.477,56
"Kurt Kitayama",0.131,6.162,47
"Andrew Putnam",0.129,9.531,74
"Si Woo Kim",0.124,8.062,65
"Jimmy Walker",0.118,7.178,61
"Scott Stallings",0.117,6.097,52
"Danny Willett",0.110,5.599,51
"Vincent Norrman",0.107,5.480,51
